No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
22,Feature-Rich Showcase,Landing Page,"Multiple feature sections, grid layout, benefit cards, visual feature demonstrations, interactive elements, problem-solution pairs",主要品牌、功能卡的明亮辅助色、CTA 的对比色,支持颜色：好处（绿色）、问题（红色/橙色）、功能（蓝色/紫色）、社会证明（中性）,卡片悬停效果（提升/缩放）、滚动图标动画、功能切换动画、平滑部分过渡,企业 SaaS、软件工具登陆页面、平台服务、复杂产品说明、B2B 产品,简单的产品页面、功能很少的早期初创公司、娱乐登陆页面,✓ Full,✓ Full,⚡ 好,✓ WCAG AA,✓ 好,✓ 高,Tailwind 10/10，Bootstrap 9/10,2020 年代现代,中,"Design a feature showcase landing page. Use: grid layout for features (3-4 columns), feature cards with icons, benefit-focused copy, alternating sections, comparison tables, interactive demos, problem-solution pairs.","display: grid, grid-template-columns: repeat(auto-fit, minmax(280px, 1fr)), gap: 2rem, card hover effects (translateY -4px), icon containers, alternating background colors",功能网格响应式，图标风格一致，卡片悬停效果平滑，交替部分对比，优点明确说明，移动堆栈正确,"--card-padding: 2rem, --card-radius: 12px, --icon-size: 48px, --grid-gap: 2rem, --section-padding:4 雷姆 0, --hover-transform:平移 Y(-4px)"
23,Minimal & Direct,Landing Page,"Minimal text, white space heavy, single column layout, direct messaging, clean typography, visual-centric, fast-loading",单色主色、白色背景、CTA 单一强调色、黑色/深灰色文本,最少的辅助颜色，仅保留给关键的 CTA，中性的支持元素,非常微妙的悬停效果，最少的动画，快速的页面加载（没有繁重的动画），平滑的滚动,简单的服务登陆页面、独立产品、咨询服务、微型 SaaS、自由职业者组合,功能丰富的产品、复杂的解释、多产品展示,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AAA,✓ 完整,✓ 高,Tailwind 10/10，Bootstrap 9/10,2020 年代现代,中,"Design a minimal direct landing page. Use: single column layout, maximum white space, essential content only, one CTA, clean typography, no decorative elements, fast loading, direct messaging.","max-width: 680px, margin: 0 auto, padding: 4rem 2rem, font-size: 18-20px, line-height: 1.6, minimal animations, no box-shadow, clean borders only",bury 单列居中， 留白充足， 仅一个主要 CTA， 无装饰图像， 页面重量 < 500KB， 加载时间 < 2 秒,"--content-max-width: 680px, --spacing-large: 4rem, --font-size-body: 18px, --line-height: 1.6, --color-text: #1a1a1a, --color-bg: #ffffff"
24,Social Proof-Focused,Landing Page,"Testimonials prominent, client logos displayed, case studies sections, reviews/ratings, user avatars, success metrics, credibility markers",主要品牌、信任色（蓝色）、成功/成长色（绿色）、中性背景,推荐突出颜色、徽标网格背景（浅灰色）、徽章/成就颜色,推荐轮播动画、徽标网格淡入、统计计数器动画（数字计数）、评论星级,B2B SaaS、专业服务、优质产品、电子商务转换页面、知名品牌,初创公司 MVP、没有用户的产品、利基/实验产品,✓ Full,✓ Full,⚡ 好,✓ WCAG AA,✓ 完整,✓ 高,Tailwind 10/10，Bootstrap 9/10,2020 年代现代,中,"Design a social proof landing page. Use: testimonials with photos, client logos grid, case study cards, review ratings (stars), user count metrics, success stories, trust indicators, before/after comparisons.","testimonial cards with avatar, logo grid (grayscale filter), star rating SVGs, counter animations (count-up), blockquote styling, carousel for testimonials, metric cards",带有真实照片的感言，徽标网格 6-12 个徽标，可访问星级评级，滚动动画指标，链接案例研究，移动轮播作品,"--avatar-size: 64px, --logo-height: 40px, --star-color: #FBBF24, --metric-font-size: 3rem, --testimonial-bg: #F9FAFB, --blockquote-border:4px 纯色"
25,Interactive Product Demo,Landing Page,"Embedded product mockup/video, interactive elements, product walkthrough, step-by-step guides, hover-to-reveal features, embedded demos",主要品牌、界面配色产品、交互元素演示高亮颜色,产品 UI 颜色、教程步骤颜色（编号进度）、悬停状态指示器,产品动画播放、步进动画、悬停显示效果、平滑缩放交互,SaaS 平台、工具/软件产品、生产力应用程序登陆页面、开发人员工具、生产力软件,简单的服务、咨询、非数字产品、厌恶复杂性的受众,✓ Full,✓ Full,⚠ 好（视频/互动）,✓ WCAG AA,✓ 好,✓ 非常高,Tailwind 10/10，Bootstrap 9/10,2020 年代现代,中,"Design an interactive demo landing page. Use: embedded product mockup, video walkthrough, step-by-step guide, hover-to-reveal features, live demo button, screenshot carousel, feature highlights on interaction.","video element with controls, position: relative for overlays, hover reveal (opacity transition), step indicators, modal for full demo, screenshot lightbox, play button overlay",演示视频加载速度快，无 JS 的回退，步骤指示器清晰，悬停状态明显，移动触摸友好，演示 CTA 突出,"--video-aspect-ratio: 16/9, --overlay-bg:RGBA(0,0,0,0.7), --step-indicator-size: 32px, --play-button-size: 80px, --transition-duration: 300ms"
26,Trust & Authority,Landing Page,"Certificates/badges displayed, expert credentials, case studies with metrics, before/after comparisons, industry recognition, security badges",专业颜色（蓝色/灰色）、信任颜色、认证徽章颜色（金色/银色点缀）,证书突出显示颜色、公制展示颜色、比较突出显示（成功绿色）,徽章悬停效果、公制脉冲动画、证书轮播、平滑统计显示,医疗保健/医疗登陆页面、金融服务、企业软件、优质/奢侈品、法律服务,休闲产品、娱乐、病毒/社交优先产品,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AAA,✓ 完整,✓ 高,Tailwind 10/10，Bootstrap 9/10,2020 年代现代,中,"Design a trust-focused landing page. Use: certification badges, security indicators, expert credentials, industry awards, case study metrics, compliance logos (GDPR, SOC2), guarantee badges, professional photography.","badge grid layout, shield icons, lock icons for security, certificate styling, metric cards with icons, professional color scheme (blue/grey), subtle shadows for depth",安全徽章可见，认证已验证，指标及来源，专业形象，保证明确，联系信息可访问,"--badge-height: 48px, --trust-color: #1E40AF, --security-green: #059669, --card-shadow:0 4px 6px rgba(0,0,0,0.1), --metric-highlight: #F59E0B"
27,Storytelling-Driven,Landing Page,"Narrative flow, visual story progression, section transitions, consistent character/brand voice, emotional messaging, journey visualization",品牌主色、温暖/情感色彩、每个故事部分的不同强调色、高视觉多样性,故事部分颜色编码、情绪状态颜色（平静、兴奋、成功）、过渡渐变,分段动画、滚动触发显示、角色/图标动画、变形过渡、视差叙事,品牌/创业故事、使命驱动型产品、优质/生活方式品牌、纪录片式产品、教育,技术/复杂产品（除非叙事驱动）、传统企业软件,✓ Full,✓ Full,⚠ 中等（动画）,✓ WCAG AA,✓ 好,✓ 高,Tailwind 10/10，Bootstrap 9/10,2020 年代现代,中,"Design a storytelling landing page. Use: narrative flow sections, scroll-triggered reveals, chapter-like structure, emotional imagery, brand journey visualization, founder story, mission statement, timeline progression.","scroll-snap sections, Intersection Observer for reveals, parallax backgrounds, section transitions, timeline CSS, narrative typography (varied sizes), image-text alternating",故事自然流畅，滚动显示流畅，各部分时间安排得当，存在情感挂钩，移动故事可读，提供跳过选项,"--section-min-height:100 伏小时, --reveal-duration: 600ms, --narrative-font:衬线, --chapter-spacing: 8rem, --timeline-color:口音, --parallax-speed: 0.5"
28,Data-Dense Dashboard,BI/Analytics,"Multiple charts/widgets, data tables, KPI cards, minimal padding, grid layout, space-efficient, maximum data visibility",中性原色（浅灰色/白色#F5F5F5），数据颜色（蓝色/绿色/红色），深色文本#333333,图表颜色：成功（绿色 #22C55E）、警告（琥珀色 #F59E0B）、警报（红色 #EF4444）、中性（灰色）,悬停工具提示、单击时图表缩放、悬停时突出显示行、平滑过滤器动画、数据加载旋转器,商业智能仪表板、财务分析、企业报告、运营仪表板、数据仓库,营销仪表板、面向消费者的分析、简单的报告,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AA,◐ 中等,✗ 不适用,Recharts 9/10、Chart.js 9/10、D3.js 10/10,2020 年代现代,中,"Design a data-dense dashboard. Use: multiple chart widgets, KPI cards row, data tables with sorting, minimal padding (8-12px), efficient grid layout, filter sidebar, dense but readable typography, maximum information density.","display: grid, grid-template-columns: repeat(12, 1fr), gap: 8px, padding: 12px, font-size: 12-14px, overflow: auto for tables, compact card design, sticky headers",网格布局 12 列，KPI 卡响应式，表格可排序，过滤器功能，数据加载状态，导出功能,"--grid-gap: 8px, --card-padding: 12px, --font-size-small: 12px, --table-row-height: 36px, --sidebar-width: 240px, --header-height: 56px"
29,Heat Map & Heatmap Style,BI/Analytics,"Color-coded grid/matrix, data intensity visualization, geographical heat maps, correlation matrices, cell-based representation, gradient coloring",渐变等级：冷色（蓝色#0080FF）到热色（红色#FF0000），中性中间（白色/黄色）,支持渐变：浅色（冷蓝色）到深色（暖红色）、正/负数据发散、单色选项,数据更改时的颜色渐变过渡、悬停时单元格突出显示、单击时显示工具提示、平滑的颜色动画,地理分析、性能矩阵、相关性分析、用户行为热图、温度/强度数据,线性数据表示、分类比较（使用条形图）、小数据集,✓ Full,✓ Full (with adjustments),⚡ 非常好,⚠ 色盲注意事项,◐ 中等,✗ 不适用,Recharts 9/10、Chart.js 9/10、D3.js 10/10,2020 年代现代,中,"Design a heatmap visualization. Use: color gradient scale (cool to hot), cell-based grid, intensity legend, hover tooltips, geographic or matrix layout, divergent color scheme for +/- values, accessible color alternatives.","display: grid, background: linear-gradient for legend, cell hover states, tooltip positioning, color scale (blue→white→red), SVG for geographic, canvas for large datasets",色标清晰、图例可见、工具提示信息丰富、色盲替代方案、地理缩放/平移、大数据性能,"--heatmap-cool: #0080FF, --heatmap-neutral: #FFFFFF, --heatmap-hot: #FF0000, --cell-size: 24px, --legend-width: 200px, --tooltip-bg:RGBA(0,0,0,0.9)"
30,Executive Dashboard,BI/Analytics,"High-level KPIs, large key metrics, minimal detail, summary view, trend indicators, at-a-glance insights, executive summary",品牌颜色、专业调色板（蓝/灰/白）、KPI 强调色、警报/疑虑红色,KPI 突出显示颜色：正（绿色）、负（红色）、中性（灰色）、趋势箭头颜色,KPI 值动画（向上计数）、趋势箭头方向动画、指标卡悬停升降、警报脉冲效果,最高管理层仪表板、业务摘要报告、决策者仪表板、战略规划视图,详细的分析师仪表板、技术深入研究、运营监控,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AA,✗ 低（未针对移动设备进行优化）,✗ 不适用,Recharts 9/10、Chart.js 9/10、D3.js 10/10,2020 年代现代,中,"Design an executive dashboard. Use: large KPI cards (4-6 max), trend sparklines, high-level summary only, clean layout with white space, traffic light indicators (red/yellow/green), at-a-glance insights, minimal detail.","display: flex for KPI row, large font-size (24-48px) for metrics, sparkline SVG inline, status indicators (border-left color), card shadows for hierarchy, responsive breakpoints",✓ KPI 最多 4-6 个，✓ 趋势可见，✓ 状态颜色清晰，✓ 单页视图，✓ 移动简化，✓ 打印友好的布局,"--kpi-font-size: 48px, --sparkline-height: 32px, --status-green: #22C55E, --status-yellow: #F59E0B, --status-red: #EF4444, --card-min-width: 280px"
31,Real-Time Monitoring,BI/Analytics,"Live data updates, status indicators, alert notifications, streaming data visualization, active monitoring, streaming charts",警报颜色：严重（红色#FF0000）、警告（橙色#FFA500）、正常（绿色#22C55E）、更新（蓝色动画）,状态指示器颜色、图表线条颜色随指标变化、流数据突出显示颜色,实时图表动画、警报脉冲/发光、状态指示器闪烁动画、流畅的数据流更新、加载效果,系统监控仪表板、DevOps 仪表板、实时分析、股市仪表板、实时事件跟踪,历史分析、长期趋势报告、存档数据仪表板,✓ Full,✓ Full,⚡ 好（实时加载）,✓ WCAG AA,◐ 中等,✗ 不适用,Recharts 9/10、Chart.js 9/10、D3.js 10/10,2020 年代现代,中,"Design a real-time monitoring dashboard. Use: live status indicators (pulsing), streaming charts, alert notifications, connection status, auto-refresh indicators, critical alerts prominent, system health overview.","animation: pulse for live, WebSocket for streaming, position: fixed for alerts, status-dot with animation, chart real-time updates, notification toast, connection indicator",实时更新工作，警报声音可选，显示连接状态，指示自动刷新，重要警报突出，离线后备,"--pulse-animation:脉冲 2s 无限, --alert-z-index: 1000, --live-indicator: #22C55E, --critical-color: #DC2626, --update-interval: 5s, --toast-duration: 5s"
32,Drill-Down Analytics,BI/Analytics,"Hierarchical data exploration, expandable sections, interactive drill-down paths, summary-to-detail flow, context preservation",主要品牌、面包屑颜色、钻取级别指示器颜色、层次结构深度颜色,向下钻取路径指示器颜色、特定于级别的颜色、所选级别的突出显示颜色、过渡颜色,向下钻取展开动画、面包屑点击过渡、平滑细节显示、平滑级别变化、数据重新加载动画,销售分析、产品分析、漏斗分析、多维数据探索、商业智能,简单的线性数据、单一指标仪表板、流式实时仪表板,✓ Full,✓ Full,⚡ 好,✓ WCAG AA,◐ 中等,✗ 不适用,Recharts 9/10、Chart.js 9/10、D3.js 10/10,2020 年代现代,中,"Design a drill-down analytics dashboard. Use: breadcrumb navigation, expandable sections, summary-to-detail flow, back button prominent, level indicators, context preservation, hierarchical data display.","breadcrumb nav with separators, details/summary for expand, transition for drill animation, position: sticky breadcrumb, nested grid layouts, smooth scroll to detail",文件夹导航清晰，后退导航轻松，展开动画流畅，上下文保留，移动钻探工作，支持深层链接,"--breadcrumb-separator: /, --expand-duration: 300ms, --level-indent: 24px, --back-button-size: 40px, --context-bar-height: 48px, --drill-transition:300 毫秒轻松"
33,Comparative Analysis Dashboard,BI/Analytics,"Side-by-side comparisons, period-over-period metrics, A/B test results, regional comparisons, performance benchmarks",比较颜色：原色（蓝色）、比较颜色（橙色/紫色）、Delta 指示器（绿色/红色）,获胜公制颜色（绿色）、失败公制颜色（红色）、中性比较（灰色）、基准颜色,比较条动画（增长到值）、增量指示器动画（方向箭头）、比较突出显示,同期报告、A/B 测试仪表板、市场比较、竞争分析、区域绩效,单一指标仪表板、未来预测（使用预测）、仅实时（无历史）,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AA,◐ 中等,✗ 不适用,Recharts 9/10、Chart.js 9/10、D3.js 10/10,2020 年代现代,中,"Design a comparison dashboard. Use: side-by-side metrics, period selectors (vs last month), delta indicators (+/-), benchmark lines, A/B comparison tables, winning/losing highlights, percentage change badges.","display: flex for side-by-side, gap for comparison spacing, color coding (green up, red down), arrow indicators, diff highlighting, comparison table zebra striping",时期选择器有效，计算的增量，有意义的颜色，显示的基准，移动堆栈正确，导出比较,"--positive-color: #22C55E, --negative-color: #EF4444, --neutral-color: #6B7280, --comparison-gap: 2rem, --arrow-size: 16px, --badge-padding:4px 8px"
34,Predictive Analytics,BI/Analytics,"Forecast lines, confidence intervals, trend projections, scenario modeling, AI-driven insights, anomaly detection visualization",预测线颜色（与实际不同）、置信区间阴影、异常突出显示（红色警报）、趋势颜色,高置信度（深色）、低置信度（浅色）、异常颜色（红色/橙色）、正常趋势（绿色/蓝色）,绘制时的预测线动画、置信带淡入、异常脉冲警报、平滑函数动画,预测仪表板、异常检测系统、趋势预测仪表板、人工智能分析、预算规划,仅历史仪表板、简单报告、实时操作仪表板,✓ Full,✓ Full,⚠ 良好（计算能力）,✓ WCAG AA,◐ 中等,✗ 不适用,Recharts 9/10、Chart.js 9/10、D3.js 10/10,2020 年代现代,中,"Design a predictive analytics dashboard. Use: forecast lines (dashed), confidence intervals (shaded bands), trend projections, anomaly highlights, scenario toggles, AI insight cards, probability indicators.","stroke-dasharray for forecast lines, fill-opacity for confidence bands, anomaly markers (circles), tooltip for predictions, toggle switches for scenarios, gradient for probability",预测线清晰，置信带可见，异常情况突出显示，场景可切换，预测已注明日期，准确性显示,"--forecast-dash: 5 5, --confidence-opacity: 0.2, --anomaly-color: #F59E0B, --prediction-color: #8B5CF6, --scenario-toggle-width: 48px, --ai-accent: #6366F1"
35,User Behavior Analytics,BI/Analytics,"Funnel visualization, user flow diagrams, conversion tracking, engagement metrics, user journey mapping, cohort analysis",漏斗阶段颜色：高参与度（绿色）、流失率（红色）、转化（蓝色）、用户流箭头（灰色）,阶段完成颜色（成功）、放弃颜色（警告）、参与度（渐变）、队列颜色,漏斗动画（向下填充）、流程图动画（连接绘制）、转换脉冲、参与条填充,转化漏斗分析、用户旅程跟踪、参与度分析、同期群分析、保留跟踪,实时运营指标、技术系统监控、金融交易,✓ Full,✓ Full,⚡ 好,✓ WCAG AA,✓ 好,✗ 不适用,Recharts 9/10、Chart.js 9/10、D3.js 10/10,2020 年代现代,中,"Design a user behavior analytics dashboard. Use: funnel visualization, user flow diagrams (Sankey), conversion metrics, engagement heatmaps, cohort tables, retention curves, session replay indicators.","SVG funnel with gradients, Sankey diagram library, percentage labels, cohort grid cells, retention chart (line/area), click heatmap overlay, session timeline",漏斗阶段清晰，流程图可读，转化计算，同类群组可比，留存趋势可见，隐私合规,"--funnel-width: 100%, --stage-colors:渐变, --flow-opacity: 0.6, --cohort-cell-size: 40px, --retention-line-color: #3B82F6, --engagement-scale:5 个级别"
36,Financial Dashboard,BI/Analytics,"Revenue metrics, profit/loss visualization, budget tracking, financial ratios, portfolio performance, cash flow, audit trail",金融颜色：利润（绿色#22C55E）、损失（红色#EF4444）、中性（灰色）、信任（深蓝色#003366）,收入重点（绿色）、支出（红色）、预算差异（橙色/红色）、余额（灰色）、准确性（蓝色）,数字动画（向上计数）、趋势方向指示器、百分比变化动画、损益颜色过渡,财务报告、会计仪表板、投资组合跟踪、预算监控、银行分析,简单的业务仪表板、娱乐/社交指标、非财务数据,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AAA,✗ 低,✗ 不适用,Recharts 9/10、Chart.js 9/10、D3.js 10/10,2020 年代现代,中,"Design a financial dashboard. Use: revenue/expense charts, profit margins, budget vs actual, cash flow waterfall, financial ratios, audit trail table, currency formatting, period comparisons.","number formatting (Intl.NumberFormat), waterfall chart (positive/negative bars), variance coloring, table with totals row, sparkline for trends, sticky column headers",货币格式、小数一致、损益表清晰、显示预算差异、审计跟踪完成、导出到 Excel,"--currency-symbol: $, --decimal-places: 2, --profit-color: #22C55E, --loss-color: #EF4444, --variance-threshold: 10%, --table-header-bg: #F3F4F6"
37,Sales Intelligence Dashboard,BI/Analytics,"Deal pipeline, sales metrics, territory performance, sales rep leaderboard, win-loss analysis, quota tracking, forecast accuracy",销售颜色：获胜（绿色）、失败（红色）、进行中（蓝色）、阻止（橙色）、达到配额（金色）、错过配额（灰色）,管道阶段颜色、代表绩效颜色、配额成就颜色、预测准确度颜色,交易移动动画、指标更新、排行榜排名变化、仪表指针移动、状态变化亮点,CRM 仪表板、销售管理、机会跟踪、绩效管理、配额规划,营销分析、客户支持指标、人力资源仪表板,✓ Full,✓ Full,⚡ 好,✓ WCAG AA,◐ 中等,✗ 不适用,Recharts 9/10，Chart.js 9/10,2020 年代现代,中,"Design a sales intelligence dashboard. Use: pipeline funnel, deal cards (kanban), quota gauges, leaderboard table, territory map, win/loss ratios, forecast accuracy, activity timeline.","kanban columns (flex), gauge chart (SVG arc), leaderboard ranking styles, map integration (Mapbox/Google), timeline vertical, deal card with status border",显示管道阶段、可拖动交易、可视化配额、更新排名、可点击区域、CRM 集成,"--pipeline-colors:阶段梯度, --gauge-track: #E5E7EB, --gauge-fill:小学, --rank-1-color: #FFD700, --rank-2-color: #C0C0C0, --rank-3-color: #CD7F32"
38,Neubrutalism,General,"Bold borders, black outlines, primary colors, thick shadows, no gradients, flat colors, 45° shadows, playful, Gen Z",#FFEB3B（黄色）、#FF5252（红色）、#2196F3（蓝色）、#000000（黑色边框）,有限的强调色、高对比度组合、不允许渐变,box-shadow：4px 4px 0 #000，边框：3pxsolid #000，无渐变，尖角（0px），粗体排版,Z 世代品牌、初创公司、创意机构、Figma 风格的应用程序、Notion 风格的界面、科技博客,奢侈品牌、金融、医疗保健、保守行业（太好玩了）,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AAA,✓ 高,✓ 高,Tailwind 10/10，引导 8/10,2020 年代现代,低,"Design a neubrutalist interface. Use: high contrast, hard black borders (3px+), bright pop colors, no blur, sharp or slightly rounded corners, bold typography, hard shadows (offset 4px 4px), raw aesthetic but functional.","border: 3px solid black, box-shadow: 5px 5px 0px black, colors: #FFDB58 #FF6B6B #4ECDC4, font-weight: 700, no gradients",† 硬边框（2-4px）， † 硬偏移阴影， † 高饱和度颜色， † 粗体排版， † 无模糊/渐变， † 独特的“丑陋可爱”外观,"--border-width: 3px, --shadow-offset: 4px, --shadow-color: #000, --colors:高饱和度, --font:粗体无字体"
39,Bento Box Grid,General,"Modular cards, asymmetric grid, varied sizes, Apple-style, dashboard tiles, negative space, clean hierarchy, cards",中性底+品牌口音，#FFFFFF，#F5F5F5，品牌主色,交互式卡片的微妙渐变、阴影变化、重点突出,具有不同跨度的网格模板、rounded-xl (16px)、微妙的阴影、悬停比例 (1.02)、平滑过渡,仪表板、产品页面、产品组合、Apple 式营销、功能展示、SaaS,数据表格密集、内容文字较多、实时监控,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AA,✓ 高,✓ 高,Tailwind 10/10，CSS 网格 10/10,2020 年代苹果,低,"Design a Bento Box grid layout. Use: modular cards with varied sizes (1x1, 2x1, 2x2), Apple-style aesthetic, rounded corners (16-24px), soft shadows, clean hierarchy, asymmetric grid, neutral backgrounds (#F5F5F7), hover effects.","display: grid, grid-template-columns: repeat(4, 1fr), grid-auto-rows: 200px, gap: 16px, border-radius: 24px, background: #FFFFFF, box-shadow: 0 4px 6px rgba(0,0,0,0.05)",网格响应（4→2→1 列），卡片跨度变化，圆角一致，阴影微妙，内容适合卡片，悬停比例 (1.02),"--grid-gap: 16px, --card-radius: 24px, --card-bg: #FFFFFF, --page-bg: #F5F5F7, --shadow:0 4px 6px rgba(0,0,0,0.05), --hover-scale: 1.02"
40,Y2K Aesthetic,General,"Neon pink, chrome, metallic, bubblegum, iridescent, glossy, retro-futurism, 2000s, futuristic nostalgia",#FF69B4（亮粉色）、#00FFFF（青色）、#C0C0C0（银色）、#9400D3（紫色）,金属渐变、光泽叠加、虹彩效果、镀铬纹理,线性渐变金属、光泽按钮、3D 镀铬效果、发光动画、气泡形状,时尚品牌、音乐平台、Z 世代品牌、怀旧营销、娱乐、聚焦年轻人,B2B 企业、医疗保健、金融、保守行业、老年用户,✓ Full,◐ Partial,⚠ 好,⚠ 检查对比度,✓ 好,✓ 高,Tailwind 8/10，CSS-in-JS 9/10,Y2K 2000 年代,中,"Design a Y2K aesthetic interface. Use: neon pink/cyan colors, chrome/metallic textures, bubblegum gradients, glossy buttons, iridescent effects, 2000s futurism, star/sparkle decorations, bubble shapes, tech-optimistic vibe.","background: linear-gradient(135deg, #FF69B4, #00FFFF), filter: drop-shadow for glow, border-radius: 50% for bubbles, metallic gradients (silver/chrome), text-shadow: neon glow, ::before for sparkles",霓虹灯颜色平衡，镀铬效果可见，有光泽的按钮样式，气泡形状装饰，闪光动画，加载复古字体,"--neon-pink: #FF69B4, --neon-cyan: #00FFFF, --chrome-silver: #C0C0C0, --glossy-gradient:线性渐变(180deg, white 0%, transparent 50%), --glow-blur: 10px"
41,Cyberpunk UI,General,"Neon, dark mode, terminal, HUD, sci-fi, glitch, dystopian, futuristic, matrix, tech noir",#00FF00（矩阵绿）、#FF00FF（洋红色）、#00FFFF（青色）、#0D0D0D（深色）,霓虹灯渐变、扫描线叠加、故障颜色、终端绿色强调,霓虹灯发光（文本阴影）、故障动画（倾斜/偏移）、扫描线（::覆盖之前）、终端字体,游戏平台、科技产品、加密应用程序、科幻应用程序、开发人员工具、娱乐,企业、医疗保健、家庭应用、保守品牌、老年用户,✗ No,✓ Only,⚠ 中等,⚠ 限量（深色+霓虹色）,◐ 中等,◐ 中等,Tailwind 8/10，自定义 CSS 10/10,2020 年代赛博朋克,中,"Design a cyberpunk interface. Use: neon colors on dark (#0D0D0D), terminal/HUD aesthetic, glitch effects, scanlines overlay, matrix green accents, monospace fonts, angular shapes, dystopian tech feel.","background: #0D0D0D, color: #00FF00 or #FF00FF, font-family: monospace, text-shadow: 0 0 10px neon, animation: glitch (transform skew), ::before scanlines (repeating-linear-gradient)",仅限深色背景，霓虹灯口音可见，毛刺效果微妙，扫描线可选，等宽字体，终端美观,"--bg-dark: #0D0D0D, --neon-green: #00FF00, --neon-magenta: #FF00FF, --neon-cyan: #00FFFF, --scanline-opacity: 0.1, --glitch-duration: 0.3s"
42,Organic Biophilic,General,"Nature, organic shapes, green, sustainable, rounded, flowing, wellness, earthy, natural textures",#228B22（森林绿）、#8B4513（土棕色）、#87CEEB（天蓝色）、#F5F5DC（米色）,自然渐变、大地色调、天蓝色、有机纹理、木材/石材颜色,圆角（16-24px）、有机曲线（边框半径变化）、自然阴影、流动的 SVG 形状,健康应用程序、可持续发展品牌、生态产品、健康应用程序、冥想、有机食品品牌,以科技为中心的产品、游戏、工业、城市品牌,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AA,✓ 高,✓ 高,Tailwind 10/10，CSS 10/10,2020 年代可持续发展,低,"Design a biophilic organic interface. Use: nature-inspired colors (greens, browns), organic curved shapes, rounded corners (16-24px), natural textures (wood, stone), flowing SVG elements, wellness aesthetic, earthy palette.","border-radius: 16-24px (varied), background: earth tones, SVG organic shapes (blob), box-shadow: natural soft, color: #228B22 #8B4513 #87CEEB, texture overlays (subtle)",Tree 色调占主导地位，有机曲线呈现，自然纹理微妙，绿色口音，到处都是圆形的，平静的感觉,"--forest-green: #228B22, --earth-brown: #8B4513, --sky-blue: #87CEEB, --cream-bg: #F5F5DC, --organic-radius: 24px, --shadow-soft:0 8px 32px rgba(0,0,0,0.08)"
43,AI-Native UI,General,"Chatbot, conversational, voice, assistant, agentic, ambient, minimal chrome, streaming text, AI interactions",中性+单重音，#6366F1（AI 紫色），#10B981（成功），#F5F5F5（背景）,状态指示器、流式突出显示、上下文卡颜色、微妙的重音变化,打字指示器（3 点脉冲）、流文本动画、脉冲动画、上下文卡、平滑显示,人工智能产品、聊天机器人、语音助手、副驾驶、人工智能工具、对话界面,传统表单、数据密集的仪表板、打印优先的内容,✓ Full,✓ Full,⚡ 非常好,✓ WCAG AA,✓ 高,✓ 高,Tailwind 10/10，React 10/10,2020 年代 AI 时代,低,"Design an AI-native interface. Use: minimal chrome, conversational layout, streaming text area, typing indicators (3-dot pulse), context cards, subtle AI accent color (#6366F1), clean input field, response bubbles.","chat bubble layout (flex-direction: column), typing animation (3 dots pulse), streaming text (overflow: hidden + animation), input: sticky bottom, context cards (border-left accent), minimal borders",✓ 聊天布局响应式， ✓ 打字指示器平滑， ✓ 输入始终可见， ✓ 背景卡样式， ✓ AI 响应清晰， ✓ 用户消息右对齐,"--ai-accent: #6366F1, --user-bubble-bg: #E0E7FF, --ai-bubble-bg: #F9FAFB, --input-height: 48px, --typing-dot-size: 8px, --message-gap: 16px"
44,Memphis Design,General,"80s, geometric, playful, postmodern, shapes, patterns, squiggles, triangles, neon, abstract, bold",#FF71CE（亮粉色）、#FFCE5C（黄色）、#86CCCA（青色）、#6A7BB4（蓝紫色）,互补的几何颜色、图案填充、对比鲜明的形状,变换：旋转（），剪辑路径：多边形（），混合混合模式，重复图案，粗体形状,创意机构、音乐网站、青年品牌、活动推广、艺术作品、娱乐,企业融资、医疗保健、法律、老年用户、保守品牌,✓ Full,✓ Full,⚡ 非常好,⚠ 检查对比度,✓ 好,◐ 中等,Tailwind 9/10，CSS 10/10,20 世纪 80 年代后现代,中,"Design a Memphis style interface. Use: bold geometric shapes (triangles, squiggles, circles), bright clashing colors, 80s postmodern aesthetic, playful patterns, dotted textures, asymmetric layouts, decorative elements.","clip-path: polygon() for shapes, background: repeating patterns, transform: rotate() for tilted elements, mix-blend-mode for overlays, border: dashed/dotted patterns, bold sans-serif",几何形状可见，颜色大胆/冲突，图案存在，布局不对称，有趣的装饰，达到 80 年代的氛围,"--memphis-pink: #FF71CE, --memphis-yellow: #FFCE5C, --memphis-teal: #86CCCA, --memphis-purple: #6A7BB4, --pattern-size: 20px, --shape-rotation: 15deg"
